idImpianto,Mean,Standard_Deviation,Cluster_Originale,Cluster
3568,1.9020666666666655,0.02298206433066613,1,2
4092,1.898933333333336,0.04108658984594048,1,2
4130,1.8925888888888898,0.022098804911733157,1,2
4404,1.8212222222222219,0.02043228211212868,2,0
4405,1.8484444444444452,0.027122738547519586,0,1
4406,1.8721111111111097,0.02201350170187669,0,1
4407,1.8559999999999992,0.02250842538879934,0,1
4408,1.8559999999999992,0.02250842538879934,0,1
4836,1.9092111111111092,0.027967273990896914,1,2
5081,1.85568888888889,0.022928635961743733,0,1
5169,1.8724444444444421,0.03362586989346723,0,1
5360,1.8672000000000006,0.024769136286103145,0,1
6481,1.8537777777777777,0.034485879793309665,0,1
6482,1.8546444444444468,0.033626605006967826,0,1
6483,1.8514444444444424,0.036667688102899096,0,1
6824,1.816111111111109,0.03796048934827567,2,0
6832,1.851000000000001,0.027240089425516093,0,1
7078,1.9124444444444413,0.04181718132756288,1,2
7483,1.8623333333333338,0.050946105032450964,0,1
7554,1.8573888888888876,0.03457631014828883,0,1
7579,1.8896666666666675,0.026664793941732556,1,2
7592,1.9398888888888914,0.043308261257335015,1,2
7728,1.8999666666666697,0.03505002845051658,1,2
7815,1.908555555555556,0.05157978680637659,1,2
7865,1.8883333333333294,0.033020592825717024,1,2
7887,1.9002444444444473,0.034847439933409864,1,2
7915,1.8870111111111147,0.04725581694042132,1,2
7991,1.9246666666666676,0.03427417542587417,1,2
8052,1.8996444444444471,0.03500186547552203,1,2
8206,1.9026111111111137,0.025633849831395324,1,2
8255,1.9001888888888923,0.03466594820632626,1,2
8259,1.8902444444444437,0.03473602252595776,1,2
8447,1.916511111111112,0.04076659914063392,1,2
8977,1.8680000000000003,0.02694355314689911,0,1
8987,1.9177777777777771,0.0535865943695794,1,2
9407,1.9045555555555556,0.035303216618609634,1,2
9741,1.8727555555555548,0.03593355638406797,0,1
10056,1.8929999999999987,0.025605038127839007,1,2
11080,1.8780111111111126,0.05362803527345456,0,1
11846,1.906655555555557,0.032343368843007946,1,2
11847,1.868666666666668,0.04358770056391413,0,1
11848,1.9052666666666676,0.031702195720220185,1,2
11849,1.8231111111111118,0.021723204827212867,2,0
11850,1.9059444444444478,0.032260304028016,1,2
12750,1.9003000000000028,0.03620306337525609,1,2
13344,1.8953000000000007,0.020036735924717226,1,2
13470,1.8897444444444436,0.03480299648442115,1,2
14051,1.8847777777777799,0.03860423734609529,1,2
14887,1.9115111111111136,0.03486675904628952,1,2
14990,1.8457777777777766,0.03686683530719773,0,1
15325,1.899444444444444,0.01838178819724403,1,2
15587,1.8919999999999995,0.02517132308040197,1,2
15729,1.8624000000000012,0.019012000940860505,0,1
15790,1.9015555555555563,0.032552847650203026,1,2
16802,1.8388444444444445,0.02909145251166487,2,0
16804,1.893677777777779,0.024132977939320406,1,2
18263,1.9162555555555572,0.017443688605332314,1,2
18640,1.8892222222222226,0.04025139477736265,1,2
19084,1.9059666666666695,0.030088801156845386,1,2
19278,1.8777777777777769,0.03553215912500808,0,1
20721,1.8804666666666658,0.03538907341050247,0,1
20964,1.9030555555555582,0.026028230616269944,1,2
21404,1.874111111111112,0.04198031760441187,0,1
21961,1.8858888888888892,0.02936192001668433,1,2
22008,1.8963111111111117,0.037811372299297145,1,2
22133,1.8138555555555558,0.033234123897899356,2,0
22172,1.888222222222223,0.03582817226137154,1,2
22433,1.8673333333333326,0.0452521028128944,0,1
23059,1.8723333333333323,0.020706618385043486,0,1
23279,1.900677777777781,0.035267780686581394,1,2
23431,1.8973555555555583,0.04147730152532493,1,2
23578,1.8968888888888904,0.04196827170866384,1,2
23637,1.8786111111111128,0.02445619539367445,0,1
23645,1.8630000000000004,0.04099328528188793,0,1
23659,1.857222222222223,0.01686548085423135,0,1
23663,1.8984333333333356,0.043758543307102334,1,2
23668,1.8422111111111115,0.036028233137655005,2,0
23670,1.9027777777777806,0.025972231401922428,1,2
23679,1.9231111111111103,0.037503391440482786,1,2
23710,1.857222222222223,0.01686548085423135,0,1
23794,1.896111111111113,0.04376249598607622,1,2
23796,1.8834777777777776,0.0219561502621039,1,2
23892,1.8908888888888877,0.03428382671220438,1,2
23951,1.8408888888888875,0.04749676380328738,2,0
23991,1.8541111111111124,0.03623408428427716,0,1
24029,1.9256222222222215,0.024190525482017368,1,2
24134,1.8607777777777772,0.039790964413278895,0,1
24183,1.9011666666666693,0.033716014932393,1,2
24259,1.8138555555555558,0.033234123897899356,2,0
24278,1.8660222222222216,0.030451648090222255,0,1
24355,1.8594444444444425,0.03297636576589503,0,1
